Model,CV Score,Test Accuracy,Test ROC-AUC
MLP,0.7912705272255834,0.7839612858624265,0.8760934386337709
XGBoost,0.7864304235090752,0.7939854821984099,0.8863842225606025
Random Forest,0.7624891961970615,0.7587279640511579,0.8579389055086882
Gradient Boosting,0.7757994814174589,0.773245765641203,0.874269857668147
Logistic Regression,0.7904926534140018,0.7815416522640857,0.8778159135531065
Decision Tree,0.7254105445116681,0.7203594884203249,0.7767123153529409
SVM,0.7779602420051859,0.7846526097476668,0.8649849932187954
